Seq,Rank,School_url,College,Town,Wiki,Web,Summary
11,1435,/reviews/6268.htm,Air Force Institute of Technology,Wright-Patterson AFB,https://en.wikipedia.org/wiki/Air_Force_Institute_of_Technology,https://www.afit.edu,"Established in 1919,  Air Force Institute of Technology is a non-profit public federal higher-education institution located in the suburban setting of the small city of Wright-Patterson AFB (population range of 50,000-249,999 inhabitants), Ohio.   Officially accredited by the Higher Learning Commission, Air Force Institute of Technology (AFIT) is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational US higher education institution. Air Force Institute of Technology (AFIT) offers courses and programs leading to officially recognized higher education degrees such as master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International applicants are eligible to apply for enrollment.  AFIT also provides several academic and non-academic facilities and services to students including a library,  online courses and distance learning opportunities,  as well as administrative services."
12,896,/reviews/4923.htm,Alabama A&M University,Huntsville,https://en.wikipedia.org/wiki/Alabama_A%26M_University,https://www.aamu.edu,"Founded in 1875,  Alabama A&M University is a non-profit public state higher-education institution located in the urban setting of the small city of Huntsville (population range of 50,000-249,999 inhabitants), Alabama.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, Alabama A&M University (AAMU) is a medium-sized (uniRank enrollment range: 6,000-6,999 students) coeducational US higher education institution. Alabama A&M University (AAMU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 145 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 90-100% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.  AAMU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
13,888,/reviews/4924.htm,Alabama State University,Montgomery,https://en.wikipedia.org/wiki/Alabama_State_University,https://www.alasu.edu,"Established in 1867,  Alabama State University is a non-profit public state higher-education institution located in the urban setting of the small city of Montgomery (population range of 50,000-249,999 inhabitants), Alabama.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, Alabama State University (ASU) is a small (uniRank enrollment range: 5,000-5,999 students) coeducational US higher education institution. Alabama State University (ASU) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 153 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 90-100% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.  ASU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
14,1650,/reviews/4956.htm,Alaska Bible College,Palmer,https://en.wikipedia.org/wiki/Alaska_Bible_College,https://www.akbible.edu,"Established in 1966,  Alaska Bible College is a non-profit private specialized higher-education institution located in the rural setting of the small town of Palmer (population range of under 2,500 inhabitants), Alaska.   Officially accredited by the Association for Biblical Higher Education, Commission on Accreditation, Alaska Bible College (ABC) is a very small (uniRank enrollment range: under-250 students) coeducational US higher education institution formally affiliated with the Christian-Protestant religion. Alaska Bible College (ABC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details.  The admission rate range is 80-90% making this US higher education organization a least selective institution.  ABC also provides several academic and non-academic facilities and services to students including a library,  housing,  online courses and distance learning opportunities,  as well as administrative services."
15,1149,/reviews/4957.htm,Alaska Pacific University,Anchorage,https://en.wikipedia.org/wiki/Alaska_Pacific_University,https://www.alaskapacific.edu,"Founded in 1957,  Alaska Pacific University is a non-profit private higher-education institution located in the urban setting of the medium city of Anchorage (population range of 250,000-499,999 inhabitants), Alaska.   Officially accredited by the Northwest Commission on Colleges and Universities, Alaska Pacific University (APU) is a very small (uniRank enrollment range: 500-999 students) coeducational US higher education institution formally affiliated with the Christian-Methodist religion. Alaska Pacific University (APU) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 63 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International students are welcome to apply for enrollment.  APU also provides several academic and non-academic facilities and services to students including a library,  housing,  financial aids and/or scholarships,  online courses and distance learning opportunities,  as well as administrative services."
16,1605,/reviews/6042.htm,Albany College of Pharmacy and Health Sciences,Albany,https://en.wikipedia.org/wiki/Albany_College_of_Pharmacy_and_Health_Sciences,https://www.acphs.edu,"Established in 1881,  Albany College of Pharmacy and Health Sciences is a non-profit private specialized higher-education institution located in the urban setting of the small city of Albany (population range of 50,000-249,999 inhabitants), New York.   Officially accredited by the Middle States Commission on Higher Education, Albany College of Pharmacy and Health Sciences (ACPHS) is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational US higher education institution. Albany College of Pharmacy and Health Sciences (ACPHS) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 139 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 70-80% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.  ACPHS also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
17,1175,/reviews/6043.htm,Albany Law School,Albany,https://en.wikipedia.org/wiki/Albany_Law_School,https://www.albanylaw.edu,"Founded in 1851,  Albany Law School is a non-profit private specialized higher-education institution located in the urban setting of the small city of Albany (population range of 50,000-249,999 inhabitants), New York.   Officially accredited by the American Bar Association, Council of the Section of Legal Education and Admissions to the Bar, Albany Law School  is a very small (uniRank enrollment range: 250-499 students) coeducational US higher education institution. Albany Law School offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  Albany Law School also provides several academic and non-academic facilities and services to students including a library,  financial aids and/or scholarships,  online courses and distance learning opportunities,  as well as administrative services."
18,1023,/reviews/6044.htm,Albany Medical College,Albany,https://en.wikipedia.org/wiki/Albany_Medical_College,https://www.amc.edu,"Established in 1839,  Albany Medical College is a non-profit private specialized higher-education institution located in the urban setting of the small city of Albany (population range of 50,000-249,999 inhabitants), New York.   Officially accredited by the Middle States Commission on Higher Education, Albany Medical College (AMC) is a very small (uniRank enrollment range: 500-999 students) coeducational US higher education institution. Albany Medical College (AMC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details.  The admission rate range is 0-10% making this US higher education organization a most selective institution. International applicants are eligible to apply for enrollment.  AMC also provides several academic and non-academic facilities and services to students including a library,  financial aids and/or scholarships,  online courses and distance learning opportunities,  as well as administrative services."
19,1103,/reviews/5308.htm,Albany State University,Albany,https://en.wikipedia.org/wiki/Albany_State_University,https://www.asurams.edu,"Established in 1903,  Albany State University is a non-profit public state higher-education institution located in the urban setting of the small city of Albany (population range of 50,000-249,999 inhabitants), Georgia.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, Albany State University  is a large (uniRank enrollment range: 10,000-14,999 students) coeducational US higher education institution. Albany State University offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 117 years old US higher-education institution has a selective admission policy based on students' past academic record and grades.  The admission rate range is 90-100% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.  Albany State University also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
20,1522,/reviews/5205.htm,Albertus Magnus College,New Haven,https://en.wikipedia.org/wiki/Albertus_Magnus_College,https://www.albertus.edu,"Founded in 1925,  Albertus Magnus College is a non-profit private higher-education institution located in the urban setting of the small city of New Haven (population range of 50,000-249,999 inhabitants), Connecticut.   Officially accredited by the New England Commission of Higher Education, Albertus Magnus College (AMC) is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational US higher education institution formally affiliated with the Christian-Catholic religion. Albertus Magnus College (AMC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 95 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 50-60% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.  AMC also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
21,643,/reviews/5769.htm,Albion College,Albion,https://en.wikipedia.org/wiki/Albion_College,https://www.albion.edu,"Founded in 1835,  Albion College is a non-profit private liberal arts higher-education institution located in the suburban setting of the medium town of Albion (population range of 2,500-9,999 inhabitants), Michigan.   Officially accredited by the Higher Learning Commission, Albion College  is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational US higher education institution formally affiliated with the Christian-Methodist religion. Albion College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 185 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  Albion College also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
22,1198,/reviews/6409.htm,Albright College,Reading,https://en.wikipedia.org/wiki/Albright_College,https://www.albright.edu,"Founded in 1856,  Albright College is a non-profit private liberal arts higher-education institution located in the urban setting of the small city of Reading (population range of 50,000-249,999 inhabitants), Pennsylvania.   Officially accredited by the Middle States Commission on Higher Education, Albright College  is a small (uniRank enrollment range: 2,000-2,999 students) coeducational US higher education institution formally affiliated with the Christian-Methodist religion. Albright College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 164 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  Albright College also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
23,1357,/reviews/5868.htm,Alcorn State University,Lorman,https://en.wikipedia.org/wiki/Alcorn_State_University,https://www.alcorn.edu,"Established in 1871,  Alcorn State University is a non-profit public state higher-education institution located in the rural setting of the medium town of Lorman (population range of 2,500-9,999 inhabitants), Mississippi.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, Alcorn State University  is a small (uniRank enrollment range: 3,000-3,999 students) coeducational US higher education institution. Alcorn State University offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 149 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 80-90% making this US higher education organization a least selective institution. International applicants are eligible to apply for enrollment.  Alcorn State University also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
24,1447,/reviews/6841.htm,Alderson Broaddus University,Philippi,https://en.wikipedia.org/wiki/Alderson_Broaddus_University,https://ab.edu,"Founded in 1871,  Alderson Broaddus University is a non-profit private multidisciplinary higher-education institution located in the rural setting of the medium town of Philippi (population range of 2,500-9,999 inhabitants), West Virginia.   Officially accredited by the Higher Learning Commission, Alderson Broaddus University (A-B) is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational US higher education institution formally affiliated with the Christian-Baptist religion. Alderson Broaddus University (A-B) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees, master degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 149 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 40-50% making this US higher education organization a averagely selective institution. International students are welcome to apply for enrollment.  A-B also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
25,1000,/reviews/6167.htm,Alfred State College,Alfred,https://en.wikipedia.org/wiki/Alfred_State_College,https://www.alfredstate.edu,"Founded in 1908,  Alfred State College is a non-profit public state higher-education institution located in the rural setting of the medium town of Alfred (population range of 2,500-9,999 inhabitants), New York.   Officially accredited by the Middle States Commission on Higher Education, Alfred State College (ASC) is a small (uniRank enrollment range: 4,000-4,999 students) coeducational US higher education institution. Alfred State College (ASC) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor degrees (i.e. certificates, diplomas, associate or foundation), bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 112 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  ASC also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
26,571,/reviews/6045.htm,Alfred University,Alfred,https://en.wikipedia.org/wiki/Alfred_University,https://www.alfred.edu,"Founded in 1836,  Alfred University is a non-profit private higher-education institution located in the rural setting of the medium town of Alfred (population range of 2,500-9,999 inhabitants), New York.   Officially accredited by the Middle States Commission on Higher Education, Alfred University  is a small (uniRank enrollment range: 2,000-2,999 students) coeducational US higher education institution. Alfred University offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, master degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 184 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International students are welcome to apply for enrollment.  Alfred University also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
27,1390,/reviews/5587.htm,Alice Lloyd College,Pippa Passes,https://en.wikipedia.org/wiki/Alice_Lloyd_College,https://www.alc.edu,"Founded in 1923,  Alice Lloyd College is a non-profit private multidisciplinary higher-education institution located in the rural setting of the small town of Pippa Passes (population range of under 2,500 inhabitants), Kentucky.   Officially accredited by the Southern Association of Colleges and Schools Commission on Colleges, Alice Lloyd College (ALC) is a very small (uniRank enrollment range: 500-999 students) coeducational US higher education institution. Alice Lloyd College (ALC) offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 97 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 20-30% making this US higher education organization a very selective institution. International students are welcome to apply for enrollment.  ALC also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services."
28,713,/reviews/6410.htm,Allegheny College,Meadville,https://en.wikipedia.org/wiki/Allegheny_College,https://allegheny.edu,"Established in 1815,  Allegheny College is a non-profit private liberal arts higher-education institution located in the rural setting of the large town of Meadville (population range of 10,000-49,999 inhabitants), Pennsylvania.   Officially accredited by the Middle States Commission on Higher Education, Allegheny College  is a very small (uniRank enrollment range: 1,000-1,999 students) coeducational US higher education institution formally affiliated with the Christian-Methodist religion. Allegheny College offers courses and programs leading to officially recognized higher education degrees such as bachelor degrees, doctorate degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 205 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades.  The admission rate range is 60-70% making this US higher education organization a somewhat selective institution. International applicants are eligible to apply for enrollment.  Allegheny College also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services."
29,1682,/reviews/16790.htm,Allen College,Waterloo,https://en.wikipedia.org/wiki/Allen_College,https://www.allencollege.edu,"Established in 1989,  Allen College is a non-profit private specialized higher-education institution located in the urban setting of the small city of Waterloo (population range of 50,000-249,999 inhabitants), Iowa.   Officially accredited by the Higher Learning Commission, Allen College  is a very small (uniRank enrollment range: 500-999 students) coeducational US higher education institution. Allen College offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study matrix below for further details. This 31 years old US higher-education institution has a selective admission policy based on entrance examinations and students' past academic record and grades. International applicants are eligible to apply for enrollment.  Allen College also provides several academic and non-academic facilities and services to students including a library,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services."
