Seq,College,Town,Wiki_Summary
10,Agnes Scott College,Decatur,"Agnes Scott College (Agnes Scott) is a private women's liberal arts college in Decatur, Georgia. The college enrolls approximately 1,000 undergraduate and graduate students. Agnes Scott is affiliated with the Presbyterian Church (USA) and is considered one of the Seven Sisters of the South. It also offers co-educational graduate programs.

"
11,Air Force Institute of Technology,Wright-Patterson AFB,"The Air Force Institute of Technology (AFIT) is a graduate school and provider of professional and continuing education for the United States Armed Forces and is part of the United States Air Force. It is in Ohio at Wright-Patterson Air Force Base, near Dayton. AFIT is a component of the Air University and Air Education and Training Command."
12,Alabama A&M University,Huntsville,"Alabama Agricultural and Mechanical University (Alabama A&M) is a public historically black land-grant university in Normal, Alabama. Founded in the 1875 as a normal school, it took its present name in 1969. AAMU is a member-school of the Thurgood Marshall College Fund and is accredited by the Southern Association of Colleges and Schools. Alabama Agricultural and Mechanical University Historic District, also known as Normal Hill College Historic District, has 28 buildings and four structures listed in the United States National Register of Historic Places."
13,Alabama State University,Montgomery,"Alabama State University (ASU) is a public historically black university in Montgomery, Alabama. Founded in 1867, ASU is a member-school of the Thurgood Marshall College Fund.

"
14,Alaska Bible College,Palmer,"Alaska Bible College is a private Christian bible college in Palmer, Alaska. It is nationally accredited by the Association for Biblical Higher Education.The school was established in 1966 by missionary Vincent James Joy, a graduate of Moody Bible Institute who became a pioneer missionary to the Ahtna people and also founded Central Alaskan Missions (which is now a branch of SEND International).  Joy began ABC with a focus on theological education for those preparing for ministry within Alaska.
A primary distinctive of the school is its emphasis on training individuals, including Alaska Natives, for rural ministry in the Far North."
15,Alaska Pacific University,Anchorage,"Alaska Pacific University (APU) is a private university in Anchorage, Alaska. It was established as Alaska Methodist University in 1957. Although it was renamed to Alaska Pacific University in 1978, it is still affiliated with the United Methodist Church. The main campus is located adjacent to the University of Alaska Anchorage (UAA) and the Alaska Native Medical Center."
16,Albany College of Pharmacy and Health Sciences,Albany,"Albany College of Pharmacy and Health Sciences (formerly Albany College of Pharmacy) is a private, independent college with campuses in Albany, New York and Colchester, Vermont. ACPHS was named the #1 Value-Added college or university in the country in the 2019 rankings published by The Wall Street Journal/Times Higher Education.[1] According to the 2018 College Scorecard, the median salary of ACPHS students ten years after entering school is $124,700, the second highest figure among the 3,871 schools that make up the College Scorecard database.[2] As of 2015, it was tied as the 58th-ranked pharmacy school in the US.[3]
ACPHS is home to approximately 1,400 students and 115 full-and-part time faculty. The College's academic programs includes five Bachelor's programs, five Master's programs, and the Doctor of Pharmacy (Pharm.D.).

"
17,Albany Law School,Albany,"Albany Law School is a private law school in Albany, New York. It was founded in 1851 and is the oldest independent law school in the nation. It is accredited by the American Bar Association and has an affiliation agreement with University at Albany that includes shared programs. The school is located near New York's highest court, federal courts, the executive branch, and the state legislature.

"
18,Albany Medical College,Albany,"Albany Medical College (AMC) is a private medical school in Albany, New York. It was founded in 1839 by Alden March and James H. Armsby and is one of the oldest medical schools in the nation. The college is part of the Albany Medical Center, which includes the Albany Medical Center Hospital. Along with Albany College of Pharmacy, Albany Law School, the Dudley Observatory, the Graduate College of Union University, and Union College, it is one of the constituent entities of Union University.
Over its 170-year history, Albany Medical College has attracted and produced many leaders in medicine and research. Among its present and past faculty, researchers, and alumni there are two Nobel Prize winners, two Lasker Award winners, two MacArthur Fellowship recipients, one Gairdner Foundation International Award winner, former Surgeon General of the United States Army, former Surgeon General of the United States Air Force, several presidents and CEOs of major academic hospitals, as well as an early president and co-founder of the American Medical Association. AMC is attributed as the site where David S. Sheridan perfected the modern-day disposable catheter, among other major discoveries and innovations. Among AMC alumni accomplishments include the discovery of the hormone leptin, the invention of computed tomography, and the discovery of oral rehydration therapy."
19,Albany State University,Albany,"Albany State University is a public historically black university in Albany, Georgia. In 2017, Darton State College and Albany State University consolidated to become one university under the University System of Georgia (USG). Albany State University has two campuses in Albany (East and West Campus) and a satellite campus in Cordele (Cordele Center).

"
20,Albertus Magnus College,New Haven,"Albertus Magnus College is a private Catholic university in New Haven, Connecticut. Founded by the Dominican Sisters of St. Mary of the Springs (now Dominican Sisters of Peace), it is located in the Prospect Hill neighborhood of New Haven, near the border with Hamden.

"
21,Albion College,Albion,"Albion College is a private liberal arts college in Albion, Michigan. The college was founded in 1835 and its undergraduate population was approximately 1,500 students in 2014.
They participate in NCAA Division III and the Michigan Intercollegiate Athletic Association (MIAA). The college's athletic teams are nicknamed the Britons, and their colors are purple and gold."
22,Albright College,Reading,"Albright College is a private liberal arts college in Reading, Pennsylvania. It was founded in 1856."
23,Alcorn State University,Lorman,"Alcorn State University (Alcorn State, ASU or Alcorn) is a public historically black land-grant university adjacent to the unincorporated community of Lorman, Mississippi. It was founded in 1871 and was the first Black land grant college established in the United States.
One of Alcorn's most notable graduates, Medgar Evers, a civil rights activist, graduated in 1952. Students and alumni of the college were part of the mid-twentieth century Civil Rights Movement, working to register voters and end inequality in the U.S. The university is a member-school of the Thurgood Marshall College Fund.
Alcorn State's athletic teams known as the Braves and compete in the NCAA's Division I. All teams compete as members of the Southwestern Athletic Conference (SWAC).

"
24,Alderson Broaddus University,Philippi,"Alderson Broaddus University (AB) is a private university in Philippi, West Virginia. It was formed in 1932 as Alderson–Broaddus College by the union of two Baptist institutions: Alderson Academy (founded 1901) and Broaddus Institute (founded 1871; moved to Philippi, 1909). The school adopted its current name in 2013.
Noted for its health science, natural science, education and music programs, the school offers a variety of majors in five academic divisions: Education and Special Programs, Health Sciences, Humanities, Natural Sciences and Social Sciences. It was the first college in West Virginia to offer a four-year degree in nursing and the first in the country to offer a four-year physician assistant degree.

"
25,Alfred State College,Alfred,"Alfred State College (ASC, SUNY Alfred, SUNY Alfred State) is a public college in Alfred, New York.  It is part of the State University of New York (SUNY) system. The college, formerly the Technical College at Alfred, offers a wide variety of majors in both 4-year bachelor's degrees or 2-year associate.  It is accredited by the Middle States Commission on Higher Education and is a member of the Rochester Area Colleges consortium."
26,Alfred University,Alfred,"Alfred University is a private university in Alfred, New York. It has a student population of approximately 2,000 undergraduates and 300 graduate students. The institution has five schools and colleges, including the New York State College of Ceramics, which includes The Inamori School of Engineering and the School of Art and Design.

"
27,Alice Lloyd College,Pippa Passes,"Alice Lloyd College is a private work college in Pippa Passes, Kentucky. It was co-founded by the journalist Alice Spencer Geddes Lloyd (a native of Cambridge, Massachusetts) and June Buchanan (a native of New York City) in 1923, at first under the name of Caney Junior College. Founded as an institution to educate leaders in Appalachia locally, it became a  bachelor's degree-granting institution in the early 1980s. Alice Lloyd College is accredited by the Southern Association of Colleges and Schools (SACS).

"
28,Allegheny College,Meadville,"Allegheny College is a private liberal arts college in Meadville, Pennsylvania. Founded in 1815, Allegheny is the oldest college in continuous existence under the same name west of the Allegheny Mountains. It is a member of the Great Lakes Colleges Association and the North Coast Athletic Conference and it is regionally accredited by the Middle States Commission on Higher Education."
29,Allen College,Waterloo,"Allen College is a private university focused on healthcare and located in Waterloo, Iowa.

"
30,Allen University,Columbia,"Allen University is a private historically black university in Columbia, South Carolina. It has more than 600 students and still serves a predominantly Black constituency. The campus is listed on the National Register of Historic Places as Allen University Historic District.

"
31,Alliant International University,San Diego ...,"Alliant International University is a private, for-profit university with its main campus in San Diego and other campuses in California. The university is also known as Alliant. It offers programs in six California campuses – in San Francisco, San Diego, Los Angeles, Irvine, Sacramento, and Fresno.  Its enrollment is approximately 4,000 students, of whom 95% are post-graduate."
32,Alma College,Alma,"Alma College is a private liberal arts college in Alma, Michigan. It enrolls approximately 1,400 students and is accredited by the Higher Learning Commission.Alma College is affiliated with the Presbyterian Church (USA) and offers bachelor's degrees in multiple disciplines as well as the Master of Fine Arts (MFA) in Creative Writing and the Master of Science in Communication and Information Technology. Its athletics teams, nicknamed the Scots, are part of the National Collegiate Athletic Association (NCAA) - Division III and the Michigan Intercollegiate Athletic Association (MIAA).

"
33,Alvernia University,Reading,"Alvernia University is a private Franciscan Roman Catholic university in Reading, Pennsylvania. Once known as Alvernia College, the school gained university status in 2008."
34,Alverno College,Milwaukee,"Alverno College is a private Roman Catholic women's college in Milwaukee, Wisconsin.

"
35,Amberton University,Garland,"Amberton University is a private Evangelical Christian university in Garland, Texas. It began as part of Abilene Christian University as an extension campus from 1971 until 1982 and was initially located in Mesquite, Texas, moving to Garland in 1974.  Plans for its separation into an independent institution were initiated when the school received accreditation from the Southern Association of Colleges and Schools in 1981 and it became known as Amber University in 1982, with the ""ton"" being added to its name in 2001.  A branch campus was opened in Frisco, Texas, in 2006.

"
36,American Baptist College,Nashville,"American Baptist College (previously American Baptist Theological Seminary) is a private, Baptist college in Nashville, Tennessee, affiliated with the National Baptist Convention, USA.  Founded in 1924, its predecessor in black Baptist education was Roger Williams University, a Nashville college begun in the late-19th century and closed in the early 20th century (Its campus is now occupied by Peabody College of Vanderbilt University). Upon full accreditation by the American Association of Bible Colleges, ABTS officially dropped use of the term ""Theological Seminary"" and renamed itself American Baptist College. The college has an 82% acceptance rate. In Fall 2019, 77% of students were retained after the first year of attendance.

"
37,American Film Institute Conservatory,Los Angeles,"The AFI Conservatory is a private not-for-profit graduate film school in the Hollywood Hills district of Los Angeles. Students (called ""Fellows"") learn from the masters in a collaborative, hands-on production environment with an emphasis on storytelling. The Conservatory is a program of the American Film Institute founded in 1969."
38,American International College,Springfield,"American International College (AIC) is a private college in Springfield, Massachusetts.

"
39,American Jewish University,Los Angeles ...,"American Jewish University (AJU), formerly the separate institutions University of Judaism and Brandeis-Bardin Institute, is a Jewish institution in Los Angeles, California.
Its largest component is its Whizin Center for Continuing Education in which 12,000 students are enrolled annually in non-credit granting courses. Classes, lectures, author events, concerts and performances are offered daytime and evening for all ages of the community.
AJU's academic division includes the College of Arts and Sciences, leading to a B.A. degree in majors such as Biology & Bioethics (pre-med), Business Administration & Innovation, Media Arts, Jewish Studies, Politics & Global Studies, and Psychology.  In addition, AJU offers graduate degrees through the Fingerhut School of Education, The David L. Lieber Graduate School, and the Ziegler School of Rabbinic Studies, a Conservative Jewish rabbinical seminary. AJU is host to the Miller Introduction to Judaism Program, which prepares students to convert to Judaism and engages interfaith couples and families, as well as three ""think tanks"": the Institute on American Jewish-Israel Relations,  and the Sigi Ziering Institute for Exploring the Ethical and Religious Implications of the Holocaust and the Center for Policy Options. At its Brandeis-Bardin Campus, the University oversees Camp Alonim, Gan Alonim Day Camp and the BCI Program.

"
40,American University,Washington,"The American University (AU or American) is a private federally chartered research university in Washington, D.C. Its main campus spans 90 acres (36 ha) on Ward Circle, mostly in the Spring Valley neighborhood of Northwest D.C. AU was chartered by an Act of Congress in 1893 at the urging of Methodist bishop John Fletcher Hurst, who sought to create an institution that would promote public service, internationalism, and pragmatic idealism. AU broke ground in 1902, opened in 1914, and admitted its first undergraduates in 1925. Although affiliated with the United Methodist Church, religious affiliation is not a criterion for admission.
American University has eight schools and colleges: the School of International Service, College of Arts and Sciences, Kogod School of Business, School of Communication, School of Professional and Extended Studies, School of Public Affairs, School of Education, and the Washington College of Law (WCL). It has over 160 programs, including 71 bachelor's degrees, 87 master's degrees, and 10 doctoral degrees, as well as JD, LLM, and SJD programs. AU's student body numbers over 13,000 and represents all 50 U.S. states and 141 countries; around a fifth of students are international. It is classified among ""R2: Doctoral Universities – High research activity"".American University's alumni, faculty, and staff have included two Pulitzer Prize winners, two Nobel Prize winners, one United States Senator, 25 United States Representatives, 18 Ambassadors of the United States, and several foreign heads of state. American University is one of the top five feeder schools to the U.S. Foreign Service, Congressional staff, and other governmental agencies.The university owns National Public Radio's flagship capital affiliate, WAMU, which has been a source of nationally and internationally distributed programming such as The Diane Rehm Show and the more recent 1A, styled as ""the 1A"", as in ""the 1st Amendment""."
41,Amherst College,Amherst,"Amherst College ( (listen) AM-ərst) is a private liberal arts college in Amherst, Massachusetts. Founded in 1821 as an attempt to relocate Williams College by its then-president Zephaniah Swift Moore, Amherst is the third oldest institution of higher education in Massachusetts. The institution was named after the town, which in turn had been named after Jeffery, Lord Amherst, Commander-in-Chief of British forces of North America during the French and Indian War. Originally established as a men's college, Amherst became coeducational in 1975.Amherst is an exclusively undergraduate four-year institution; 1,855 students were enrolled in fall 2018. Admissions is highly selective, and it frequently ranks at or near the top in most rankings of liberal arts schools. Students choose courses from 38 major programs in an open curriculum and are not required to study a core curriculum or fulfill any distribution requirements; students may also design their own interdisciplinary major. Amherst competes in the New England Small College Athletic Conference. Amherst has historically had close relationships and rivalries with Williams College and Wesleyan University, which form the Little Three colleges. The college is also a member of the Five College Consortium, which allows its students to attend classes at four other Pioneer Valley institutions: Mount Holyoke College, Smith College, Hampshire College, and the University of Massachusetts Amherst.
Among its alumni and affiliates are six Nobel Prize laureates (with its five alumni giving it one of the highest proportions of Nobel laureates among graduates out of any undergraduate institution worldwide), 20 Rhodes Scholars, numerous Pulitzer Prize recipients, MacArthur Fellows, winners of the Academy, Tony, Grammy and Emmy Awards, a President of the United States, a Chief Justice of the United States, three Speakers of the U.S. House of Representatives, and notable writers, academics, politicians, entertainers, businesspeople, and activists."
42,Anderson University,Anderson,not available
43,"Anderson University, Indiana",Anderson ...,not available
44,Andrews University,Berrien Springs,"Andrews University is a private Seventh-day Adventist university in Berrien Springs, Michigan. Founded in 1874 as Battle Creek College, it was the first higher education facility started by Seventh-day Adventists and is the flagship university of the Seventh-day Adventist school system, the world's second largest Christian school system.The university consists of eight schools or colleges, offering 130 undergraduate majors and 70 graduate majors. In addition, post-baccalaureate degrees are offered by all. It is accredited by the Higher Learning Commission, and the Adventist Accrediting Association (AAA).

"
45,Angelo State University,San Angelo,"Angelo State University is a public university in San Angelo, Texas. It was founded in 1928 as San Angelo College. It gained university status and awarded its first baccalaureate degrees in 1967 and graduate degrees in 1969, the same year it took on its current name. It offers 50 undergraduate programs and 31 graduate programs. It is the second-largest campus in the Texas Tech University System.

"
46,Anna Maria College,Paxton,"Anna Maria College is a private Roman Catholic college in Paxton, Massachusetts. It was founded in 1946 as a women's college, but has been coeducational since 1973. The school offers both undergraduate and graduate degrees."
47,Antioch University,Yellow Springs ...,"Antioch University is a private university with multiple campuses in the United States and online programs. Founded in 1852 as Antioch College, its first president was politician, abolitionist, and education reformer Horace Mann. It changed its name to Antioch University in 1977 to reflect its growth across the country into numerous graduate education programs.  It now operates four campuses located in three states, as well as an online division and the Graduate School of Leadership and Change.  All campuses of the university are regionally accredited by the Higher Learning Commission. Campuses are located in Los Angeles, California; Santa Barbara, California; Keene, New Hampshire; and, Seattle, Washington.  Additionally, Antioch University houses two institution-wide programs, the Graduate School of Leadership and Change and Antioch University Online.  Antioch University suspended operations of Antioch College in 2008, and later sold the campus and a license to use the name ""Antioch College"" to a new and independent non-profit corporation in 2009. Since then, the college has had no affiliation with the university.

"
48,Antioch University Los Angeles,Culver City,"Antioch University Los Angeles (AULA) is a campus of Antioch University in Culver City, California."
49,Antioch University New England,Keene,"Antioch University New England is a private graduate school located in Keene, New Hampshire, United States. It is part of the Antioch University system, a private, non-profit, 501(c)(3) institution, that includes campuses in Seattle, Washington; Los Angeles, California; and Santa Barbara, California. It is accredited by the Higher Learning Commission. The most well-known campus was Antioch College in Yellow Springs, Ohio, which is now independent of the Antioch University system.

"
50,Antioch University Santa Barbara,Santa Barbara,"Antioch University Santa Barbara (AUSB) is a private liberal arts university in downtown Santa Barbara, California. It is part of the Antioch University system that includes campuses in Keene, New Hampshire; Seattle, Washington; Los Angeles, California; and Yellow Springs, Ohio, also home to Antioch College. Antioch University has operated in Santa Barbara since 1977."
51,Antioch University Seattle,Seattle,"Antioch University Seattle (AUS) is a private, nonprofit liberal arts university founded in 1975 and located in Seattle, Washington. It is part of the Antioch University system that includes campuses in Keene, New Hampshire; Santa Barbara, California; Los Angeles, California; and Yellow Springs, Ohio, also home to Antioch College.

"
52,Appalachian Bible College,Mount Hope,"Appalachian Bible College is a private Christian Bible college in Mount Hope, West Virginia. While unaffiliated with any particular denomination, it generally serves independent churches within the fundamental Bible and Baptist associations.

"
53,Appalachian College of Pharmacy,Oakwood,"The Appalachian College of Pharmacy (ACP), formerly known as the University of Appalachia, College of Pharmacy, is a private doctoral pharmacy school located in Oakwood, Virginia. The school, established in 2003, is Virginia's only three-year accelerated Doctor of Pharmacy program. ACP's mission is to improve the health outcomes of rural and underserved communities, particularly those in  Central Appalachia, through education, service, and scholarship.

"
54,Appalachian State University,Boone,"Appalachian State University (; Appalachian, App State, App, or ASU) is a public university in Boone, North Carolina. It was founded as a teachers college in 1899 by brothers B. B. and D. D. Dougherty and the latter's wife, Lillie Shull Dougherty. The university expanded to include other programs in 1967 and joined the University of North Carolina System in 1971.The university enrolls more than 20,600 students. It offers more than 150 bachelor's degrees and 70 graduate degree programs, including two doctoral programs. The university has 8 colleges: the College of Arts and Sciences, the Walker College of Businesses, 
the Reich College of Education, the College of Fine and Applied Arts, the Beaver College of Health Sciences, the Honors College, the Hayes School of Music, and University College.
The Athletic Teams compete in the Sun Belt Conference, except for a few sports which compete in the Southern Conference, such as wrestling. The teams are known as the Mountaineers."
55,Aquinas College,Grand Rapids,"Aquinas College is a private Catholic liberal arts college in Grand Rapids, Michigan."
56,"Aquinas College, Tennessee",Nashville,"Aquinas College is a private Roman Catholic college in Nashville, Tennessee. It was founded in 1961 and named in honor of St. Thomas Aquinas."
57,Arcadia University,Glenside,"Arcadia University is a private university in Glenside, Pennsylvania. The university enrolls approximately 4,000 undergraduate, master's, and doctoral students. The 76-acre (310,000 m2) campus features Grey Towers Castle, a National Historic Landmark.

"
58,Arizona Christian University,Phoenix,"Arizona Christian University is a private Christian university in Glendale, Arizona.

"
59,Arizona State University,Tempe ...,"Arizona State University (Arizona State or ASU) is a public research university in the Phoenix metropolitan area. Founded in 1885 by the 13th Arizona Territorial Legislature, ASU is one of the largest public universities by enrollment in the U.S.One of three universities governed by the Arizona Board of Regents, ASU is a member of the Universities Research Association and classified among ""R1: Doctoral Universities – Very High Research Activity"". ASU has nearly 150,000 students attending classes, with more than 38,000 students attending online, and 90,000 undergraduates and nearly 20,000 postgraduates across its five campuses and four regional learning centers throughout Arizona. ASU offers 350 degree options from its 17 colleges and more than 170 cross-discipline centers and institutes for undergraduates students, as well as more than 400 graduate degree and certificate programs. The Arizona State Sun Devils compete in 26 varsity-level sports in the NCAA Division I Pac-12 Conference and is home to over 1,100 registered student organizations.As of January, 2022, ASU reported that its faculty of more than 4,700 scholars included 5 Nobel laureates, 6 MacArthur Fellows, 10 Pulitzer Prize winners, 9 National Academy of Engineering members, 23 National Academy of Sciences members, 26 American Academy of Arts and Sciences members, 40 Guggenheim fellows, 151 National Endowment for the Humanities fellows, and 279 Fulbright Program American Scholars."
60,Arkansas Baptist College,Little Rock,"Arkansas Baptist College (ABC) is a private Baptist-affiliated historically black college in Little Rock, Arkansas.  Founded in 1884 as the Minister's Institute, ABC was initially funded by the Colored Baptists of the State of Arkansas. It is the only historically black Baptist school west of the Mississippi River. The Main Building on its campus, built in 1893, is one of the oldest surviving academic buildings in the state, and was listed on the National Register of Historic Places in 1976."
61,Arkansas State University,Jonesboro,"Arkansas State University (A-State or ASU) is a public research university in Jonesboro, Arkansas.  It is the flagship campus of the Arkansas State University System and the second largest university in Arkansas. The university was founded in 1909 and is located atop 1,376 acres (557 hectares) on Crowley's Ridge.Arkansas State University is classified among ""R2: Doctoral Universities – High research activity""."
62,Arkansas Tech University,Russellville,"Arkansas Tech University (ATU) is a public university in Russellville, Arkansas. The university offers programs at both baccalaureate and graduate levels in a range of fields. The Arkansas Tech University–Ozark Campus, a two-year satellite campus in the town of Ozark, primarily focuses on associate and certificate education."
63,Arlington Baptist University,Arlington,"Arlington Baptist University is a private Baptist Bible college in Arlington, Texas. It is the official education institution of the World Baptist Fellowship and it offers both undergraduate and graduate degree programs.

"
64,Art Academy of Cincinnati,Cincinnati,"The Art Academy of Cincinnati is a private college of art and design in Cincinnati, Ohio, accredited by the National Association of Schools of Art and Design. It was founded as the McMicken School of Design in 1869, and was a department of the University of Cincinnati, and later in 1887, became the Art Academy of Cincinnati, the museum school of the Cincinnati Art Museum.
In 1998, the Art Academy of Cincinnati legally separated from the museum and became an independent college of art and design. Degrees granted are the Associate of Science in Graphic Design; the Bachelor of Fine Arts in Creative Writing, Design, Illustration, Painting and Drawing, Photography, Print Media, and Sculpture; and the Master of Arts in Art Education, which is taught during summer semesters.
The Art Academy moved into its current facility at 1212 Jackson St. in the Over-the-Rhine neighborhood in the fall of 2005. This move has been pivotal in the Over-the-Rhine revitalization and renovation as an arts district. The new facility provides 24-hour access for students with around the clock security. Students are guaranteed studio spaces in Junior and Senior years. The 12th and Jackson St. building also has an open air atrium, connecting two formerly separate buildings, enlarged classroom spaces, computer labs, a student commons area, lecture hall, and Learning Services Center. In 2008, the Art Academy facility received Leadership in Energy and Environment Design (LEED) Green Building certification by the United States Green Building Council (USGBC).
AAC housing is required for out-of-town Art Academy freshmen at the Academy Housing Facility at the nearby corner of 12th and Vine streets. Spaces are also available to local freshmen. Twelve suites for 28 students are available each with fully equipped kitchens and with washer and dryer. A Resident Advisor is also available and lives on the premises.

"
65,ArtCenter College of Design,Pasadena,"Art Center College of Design (stylized as ArtCenter College of Design) is a private art college in Pasadena, California."
66,Asbury University,Wilmore,"Asbury University is a private Christian university in Wilmore, Kentucky. Although it is a non-sectarian school, the college is aligned with the Wesleyan-Holiness movement. The school offers 50-plus majors across 17 departments. In the fall of 2016, Asbury University had a total enrollment of 1,854: 1,640 traditional undergraduate students and 214 graduate students. The campus of Asbury Theological Seminary, which became a separate institution in 1940, is located across the street from Asbury University.

"
67,Ashland University,Ashland,"Ashland University is a private Christian university in Ashland, Ohio. The university consists of a 135-acre (55 ha) main campus and several off-campus centers throughout central and northern Ohio. Ashland was founded in 1878 as Ashland College.  It is affiliated with The Brethren Church.In addition to a graduate school, the university consists of four colleges: the College of Arts and Sciences, the Schar College of Education, the Dauch College of Business and Economics, and the Schar College of Nursing and Health Sciences. Ashland Theological Seminary, a division of Ashland University, offers a Doctor of Ministry (D.Min.) degree as well as a number of master's degrees. Ashland is classified as a master's university with most graduate research being in a professional field.

"
68,Assumption College,Worcester,not available
69,Athens State University,Athens,"Athens State University is a public upper-division university in Athens, Alabama. Its academics are housed in three colleges: Education, Arts and Sciences, and Business.

"
70,Atlanta Metropolitan State College,Atlanta,"Atlanta Metropolitan State College is a public college in Atlanta, Georgia. It is part of the University System of Georgia.

"
71,Auburn University,Auburn,"Auburn University (AU or Auburn) is a public land-grant research university in Auburn, Alabama. With more than 24,600 undergraduate students and a total enrollment of more than 30,000 with 1,330 faculty members, Auburn is the second largest university in Alabama. It is one of the state's two public flagship universities. The university is classified among ""R1: Doctoral Universities – Very High Research Activity"" and its alumni include 5 Rhodes Scholars and 5 Truman Scholars.Auburn was chartered on February 1, 1856, as East Alabama Male College, a private liberal arts school affiliated with the Methodist Episcopal Church, South.  In 1872, under the Morrill Act, it became the state's first land-grant university and was renamed as the Agricultural and Mechanical College of Alabama. In 1892, it became the first four-year coeducational school in Alabama, and in 1899 was renamed Alabama Polytechnic Institute (API) to reflect its changing mission. In 1960, its name was changed to Auburn University to acknowledge the varied academic programs and larger curriculum of a major university."
72,Auburn University at Montgomery,Montgomery,"Auburn University at Montgomery (AUM) is a public university in Montgomery, Alabama. Established by an act of the  Alabama Legislature in 1967, it is governed by the Auburn University Board of Trustees as a member of the Auburn University system. AUM offers more than 90 programs of study leading to bachelor's, master's, specialist, and doctoral degrees. As of 2018, the university enrolled more than 5,200 students."
